res_id,name,establishment,url,address,city,locality,latitude_res,longitude_res,locality_verbose,cuisines,timings,average_cost_for_two,highlights,aggregate_rating,rating_text,fclass,name.1,latitude_uni,longitude_uni,proximity
18716669,Queens,Bar,https://www.zomato.com/bangalore/queens-electronic-city-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Near Bharthi Travels, Service Road, Singasandra, Electronic City, Bangalore",Bangalore,Electronic City,12.87915961,77.64664248,"Electronic City, Bangalore","North Indian, Continental, British",1 PM to 12 Midnight,1400,"['Cash', 'Dinner', 'Credit Card', 'Debit Card', 'Fullbar', 'Serves Cocktails', 'Air Conditioned', 'Live Entertainment', 'Live Music', 'Table booking recommended', 'Dance Floor', 'Indoor Seating', 'Above 18 Only', 'DJ', 'Nightlife', 'Rooftop', 'Smoking Area']",4.2,Very Good,,,,,
18664740,"R Bar - Renaissance Hotel, Bengaluru",Bar,https://www.zomato.com/bangalore/r-bar-renaissance-hotel-bengaluru-race-course-road-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"17,17/1, Ground Floor, Madhavanagar Extension, Race Course Road, Bangalore",Bangalore,"Renaissance Hotel, Race Course Road",12.98383772,77.57672198,"Renaissance Hotel, Race Course Road, Bangalore",Continental,"12 Noon to 11:30 PM (Mon-Fri), 12 Noon to 11:30 PM, 12 Midnight to 1 AM (Sat-Sun)",1400,"['Cash', 'Debit Card', 'Dinner', 'Serves Alcohol', 'Credit Card', 'Lunch', 'Takeaway Available', 'Table booking recommended', 'Indoor Seating', 'Smoking Area', 'Live Music', 'Fullbar']",4.2,Very Good,,,,,
53666,Zaica Dine & Wine,Casual Dining,https://www.zomato.com/bangalore/zaica-dine-wine-indiranagar-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2010, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Bangalore,Indiranagar,12.96519593,77.64179002,"Indiranagar, Bangalore",North Indian,"12noon â€“ 3:30pm, 7pm â€“ 11pm (Mon, Tue, Wed, Thu, Fri, Sun), 12midnight â€“ 1am, 12noon â€“ 3:30pm, 7pm â€“ 12midnight (Sat)",1200,"['Serves Alcohol', 'Delivery', 'Takeaway Available', 'Credit Card', 'Lunch', 'Dinner', 'Buffet', 'Valet Parking Available', 'Wifi', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Fullbar']",4.0,Very Good,,,,,
18684830,The Hidden Home,Casual Dining,https://www.zomato.com/bangalore/the-hidden-home-sarjapur-road-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"82/4B, Next To Wipro Corporate Office, Sarjapur Road, Bangalore",Bangalore,Sarjapur Road,12.91048147,77.68473689,"Sarjapur Road, Bangalore","Asian, Chinese, Continental, North Indian, South Indian",12noon â€“ 11pm (Mon-Sun),1300,"['Serves Alcohol', 'Lunch', 'Debit Card', 'Takeaway Available', 'Credit Card', 'Delivery', 'Cash', 'Dinner', 'Indoor Seating', 'Fullbar', 'Air Conditioned', 'Free Wifi', 'Free Parking', 'Serves Cocktails', 'Wheelchair Accessible', 'Valet Parking Available', 'Buffet', 'Beer', 'Disabled Friendly', 'Table booking recommended', 'Wine', 'Kid Friendly', 'Wifi']",4.2,Very Good,,,,,
50512,Jalsa,Casual Dining,https://www.zomato.com/bangalore/jalsa-marathahalli?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"25/7, Doddannakundi, Outer Ring Road, Mahadevapura, Marathahalli, Bangalore",Bangalore,Marathahalli,12.97773579,77.69540101,"Marathahalli, Bangalore","North Indian, Mughlai","Mon-Fri (12 Noon to 3 PM, 6:30 PM to 11:30 PM), Sat-Sun (12 Noon to 3:30 PM, 6:30 PM to 11:30 PM)",1500,"['Lunch', 'Dinner', 'Takeaway Available', 'Delivery', 'Cash', 'Credit Card', 'Debit Card', 'Serves Alcohol', 'Indoor Seating', 'Table booking recommended', 'Buffet', 'Live Sports Screening', 'Fullbar', 'Air Conditioned', 'Smoking Area', 'Wheelchair Accessible']",4.2,Very Good,,,,,
50473,Empire Restaurant,Casual Dining,https://www.zomato.com/bangalore/empire-restaurant-1-brigade-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"35, Castle Street, Off Brigade Road, Brigade Road, Bangalore",Bangalore,Brigade Road,12.96726117,77.60903154,"Brigade Road, Bangalore","North Indian, Mughlai, South Indian, Chinese",12 Noon to 1 AM,500,"['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Table booking recommended', 'Air Conditioned']",4.3,Very Good,,,,,
51366,The Higher Taste,Casual Dining,https://www.zomato.com/bangalore/the-higher-taste-rajajinagar-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"ISKCON Temple Complex, Hare Krishna Hill, Chord Road, Rajajinagar, Bangalore",Bangalore,Rajajinagar,13.01146687,77.55089566,"Rajajinagar, Bangalore","Pizza, Biryani, North Indian, South Indian","12 Noon to 3 PM, 7 PM to 10:30 PM",800,"['Cash', 'Delivery', 'Lunch', 'Credit Card', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Debit Card', 'Indoor Seating', 'Pure Veg', 'Buffet', 'Table booking recommended', 'Air Conditioned', 'Serves Jain Food']",4.3,Very Good,,,,,
60681,Zaitoon,Casual Dining,https://www.zomato.com/bangalore/zaitoon-jp-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"21, 24th Main Road, 6th Phase, JP Nagar, Bangalore",Bangalore,JP Nagar,12.90284828,77.5857513,"JP Nagar, Bangalore","BBQ, Arabian, Chinese, North Indian, Desserts",11:30 AM to 11:30 PM,1000,"['Credit Card', 'Delivery', 'Lunch', 'Debit Card', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Cash', 'Outdoor Seating', 'Air Conditioned', 'Buffet', 'Table booking recommended', 'Wifi', 'Live Sports Screening', 'Table reservation required', 'Table booking for Groups', 'Valet Parking Available', 'Indoor Seating', 'Wheelchair Accessible', 'Kid Friendly', 'Free Wifi', 'Sports TV', 'Free Parking', 'Card Upon Delivery']",4.1,Very Good,,,,,
52676,New Uncle Kitchen,Casual Dining,https://www.zomato.com/bangalore/new-uncle-kitchen-jalahalli?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"870, Sujatha, A Block, 2nd Main, Ayappa Nagar, Jalahalli, Bangalore",Bangalore,Jalahalli,13.04559511,77.52289373,"Jalahalli, Bangalore","North Indian, Chinese, Biryani","12 Noon to 3 PM, 6 PM to 11 PM",600,"['Lunch', 'Delivery', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned']",4.1,Very Good,,,,,
18627591,Rara Avis,Casual Dining,https://www.zomato.com/bangalore/rara-avis-sahakara-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"7/G Block, 20th Main Road, Park View Layout, Sahakara Nagar, Bangalore",Bangalore,Sahakara Nagar,13.06264326,77.59249136,"Sahakara Nagar, Bangalore","Kerala, North Indian, South Indian, Chinese","11 AM to 4 PM, 6 PM to 11 PM",1100,"['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Table booking recommended']",4.3,Very Good,,,,,
18567062,Pashto,Casual Dining,https://www.zomato.com/bangalore/pashto-residency-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"56/5, Ground Floor, Center Point Building, Residency Road, Bangalore",Bangalore,Residency Road,12.972953,77.60929406,"Residency Road, Bangalore","North Indian, Mughlai, Afghan",12noon â€“ 12midnight (Mon-Sun),800,"['Credit Card', 'Lunch', 'Cash', 'Delivery', 'Takeaway Available', 'Debit Card', 'Dinner', 'Outdoor Seating', 'Table booking recommended', 'Indoor Seating', 'Air Conditioned', 'Smoking Area']",4.1,Very Good,,,,,
18783527,Hunger Camp,Casual Dining,https://www.zomato.com/bangalore/hunger-camp-jp-nagar-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"77B, 2nd Cross, 3rd Main, 4th Phase, JP Nagar, Bangalore",Bangalore,JP Nagar,12.901187,77.595037,"JP Nagar, Bangalore","North Indian, South Indian, Chinese, Seafood",11am â€“ 11pm (Mon-Sun),1300,"['Lunch', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Valet Parking Available', 'Free Wifi', 'Air Conditioned', 'Indoor Seating', 'Table booking recommended']",4.5,Excellent,,,,,
18518652,Little Green Cafe,,https://www.zomato.com/bangalore/little-green-cafe-church-street?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"9/3, Prestige Pearl House, Museum Road, Church Street, Bangalore",Bangalore,Church Street,12.973718,77.60312,"Church Street, Bangalore","Healthy Food, Salad, Sandwich, Beverages",9AM to 10:30PM (Mon-Sun),900,"['Cash', 'Credit Card', 'Delivery', 'Debit Card']",4.3,Very Good,,,,,
